rep,method,estimate,error,estimate_income,error_income,main_l2,pair_l2,validation_tv,ess,max_weight,num_trees
8,Main-effect EB,5.822935519527894,0.15340555869792016,23589.956373765857,-932.9584244404214,2.938957444133369e-09,0.49148553711617243,0.01472765850128063,272.67407295684194,0.012407136511298954,
8,Fixed pairwise EB,5.809264412498099,0.13973445166812581,25200.940600827587,678.0258026213087,4.784858535741741e-09,5.844289195133767e-09,0.009564328396230625,232.68922125023124,0.01599145639345039,
8,EB-offset hybrid: main,5.8338906567888325,0.16436069595885883,24441.426283107554,-81.48851509872475,3.074108747710819e-09,0.36253545382990726,0.01178011576947828,265.4395134787808,0.012261028286758352,9.0
8,EB-offset hybrid: pairwise,5.80620734289824,0.13667738206826652,25433.69400460226,910.7792063959823,1.2315316383551615e-14,1.4045857035542382e-14,0.009222708767217376,232.67653716912096,0.015722870559495963,3.0
9,Biased source,7.138465760133221,1.4689357993032477,40432.777777777774,15909.862979571495,0.9719719170163397,1.1057124146409496,0.11860488290981587,449.9999999999999,0.0022222222222222222,
9,Main-effect EB,5.674055057576767,0.0045250967467938,22929.46526341415,-1593.4495347921293,2.7467915456236643e-10,0.4893552970898486,0.015128946266509293,265.6798544188845,0.010829833009502353,
9,Fixed pairwise EB,5.702580350003427,0.03305038917345371,24055.893427460676,-467.0213707456023,1.6355962992814135e-11,2.6323603433274466e-11,0.009840421638653146,208.080072497405,0.025125134766693372,
9,EB-offset hybrid: main,5.670974493152717,0.0014445323227434415,22840.269464525398,-1682.6453336808809,5.121736663548543e-10,0.4940276266326551,0.015389273236027637,265.79007142278675,0.011201373714114359,2.0
9,EB-offset hybrid: pairwise,5.676219057799993,0.006689096970019293,23999.58726116738,-523.3275370388983,3.844369949656712e-15,6.298712725002063e-15,0.009362254524869742,206.5640762101726,0.025552384932881485,5.0
10,Biased source,7.114553437252033,1.445023476422059,40468.62222222222,15945.707424015942,0.9027355946125002,1.0606513766953156,0.11136346596436306,449.9999999999999,0.0022222222222222222,
10,Main-effect EB,5.7317640447205065,0.062234083890532865,23491.810052237986,-1031.1047459682923,2.374412802653225e-10,0.5942206685243596,0.014032287575998031,279.4018646704297,0.011886636653125959,
10,Fixed pairwise EB,5.729429956499358,0.059899995669383976,25373.121307809954,850.2065096036749,5.690223825818276e-15,1.1685384325789016e-14,0.007397763669706429,219.7362004370201,0.01816226501710943,
10,EB-offset hybrid: main,5.720229094249564,0.05069913341959076,23839.40455076188,-683.5102474443993,1.7853302085868597e-09,0.5437823157972028,0.012521941155732111,273.81924732891605,0.012428411769475943,6.0
10,EB-offset hybrid: pairwise,5.693380275747518,0.02385031491754397,25374.454677364483,851.5398791582047,3.5490686950157683e-15,4.6674358282398414e-15,0.006707039756681559,217.65216893892887,0.01893440706964769,5.0
11,Biased source,6.968166227578106,1.2986362667481322,37559.933333333334,13037.018535127056,0.9102806879547005,1.05360051038708,0.11149152569182486,449.9999999999999,0.0022222222222222222,
11,Main-effect EB,5.61179454087262,-0.05773541995735343,21471.504442533726,-3051.410355672553,3.791192679555362e-14,0.7419952120909409,0.02004599662671263,260.38137975369494,0.014501324531745291,
11,Fixed pairwise EB,5.580254525031134,-0.08927543579883945,25555.095248107147,1032.1804499008686,6.629995386441512e-10,1.0239374833241213e-09,0.010403352048313592,156.85210171061635,0.027267773025022767,
11,EB-offset hybrid: main,5.602200140970721,-0.06732981985925246,21455.816516849078,-3067.098281357201,1.9893561465536263e-09,0.7363233421916627,0.019744245474361898,259.5068610159669,0.01469989976913847,1.0
11,EB-offset hybrid: pairwise,5.568885442193195,-0.10064451863677881,25360.012249995012,837.0974517887335,9.246281965229183e-15,1.0984096662442804e-14,0.008396249500082888,159.1216794797042,0.024451103902290418,9.0
12,Biased source,7.332053843370462,1.662523882540488,39573.66666666667,15050.751868460393,0.9434441978095229,1.0488080310185903,0.11077283476087685,449.9999999999999,0.0022222222222222222,
12,Main-effect EB,5.816722936259626,0.14719297542965215,22740.22022771265,-1782.6945704936297,3.0385740076314304e-14,0.49958753612711104,0.018307967497606395,276.6796023297639,0.011657854708974002,
12,Fixed pairwise EB,5.850951724136932,0.18142176330695836,24888.350664689395,365.4358664831161,1.5236091740457433e-10,2.188136424095451e-10,0.008000914390796261,223.74352940592357,0.016127210468337365,
12,EB-offset hybrid: main,5.808007945461323,0.13847798463134975,23267.6116730596,-1255.3031251466782,2.286330790611189e-15,0.41519810234953736,0.015182845171354672,270.1712142321589,0.011825090865451054,6.0
12,EB-offset hybrid: pairwise,5.8468866753395,0.17735671450952673,24907.37909679736,384.46429859107957,3.2323381276154246e-09,5.637322755533694e-09,0.007902928528137666,223.57569733521592,0.01611483079242048,1.0
13,Biased source,7.489302764452384,1.8197728036224108,40020.11111111111,15497.19631290483,1.0492345668955736,1.1500269314790628,0.12996464754312312,449.9999999999999,0.0022222222222222222,
13,Main-effect EB,5.828055599935993,0.1585256391060197,22063.402400111423,-2459.5123980948556,2.3940818800600734e-15,0.5587846860261978,0.016118032670290924,235.91106981218869,0.013416308033057649,
13,Fixed pairwise EB,5.819253956281724,0.1497239954517502,24684.76420825623,161.84941004995198,4.299662244901489e-15,5.672341275817423e-15,0.008440893190985172,159.70664191250694,0.0344422653449702,
13,EB-offset hybrid: main,5.817816998917535,0.14828703808756138,22618.506119586804,-1904.4086786194748,2.6808153141757106e-09,0.4495348093030261,0.01306176503536403,223.3504899890758,0.014102220983094865,16.0
13,EB-offset hybrid: pairwise,5.803218326633153,0.1336883658031791,24830.305874091388,307.3910758851089,1.047906978396374e-12,1.3185076326423785e-12,0.008427095776353108,160.3048111136857,0.03252915879122947,12.0
14,Biased source,6.998451438290715,1.3289214774607414,38694.666666666664,14171.751868460386,0.9115454429081312,1.062505224182961,0.11555754857997032,449.9999999999999,0.0022222222222222222,
14,Main-effect EB,5.651781557622765,-0.01774840320720905,22654.09817687559,-1868.8166213306904,3.102411255809799e-11,0.47763250762494847,0.013877105552605136,300.4243581669936,0.008994608764535792,
14,Fixed pairwise EB,5.700357858157316,0.03082789732734259,24384.26918493032,-138.64561327595948,5.436870965470864e-11,9.377148177735102e-11,0.006309717541135276,249.91667001676703,0.011401309409899522,
14,EB-offset hybrid: main,5.650137683051009,-0.019392277778965017,22794.660598015944,-1728.2542001903348,6.4346524351868876e-15,0.4664810287660226,0.013647175806296824,298.815647781206,0.00982562971184046,2.0
