method,estimate,error,ess,main_l2,pair_l2,latent_z_l2,num_trees,rep
EB main,207.57541128692614,-3.9019965123882514,299.08557105796496,8.379110148050662e-15,0.3889123096484756,0.2707572839778733,0.0,12
EB pairwise,209.9889417833415,-1.4884660159729037,212.99073085756288,2.5066800957622253e-12,2.9256155259272295e-12,0.09305835525788762,0.0,12
EB-offset hybrid: main,208.43618905968083,-3.041218739633564,283.37168332519525,6.2202993981648675e-09,0.35055143883440165,0.25375673392631376,16.0,12
EB-offset hybrid: pairwise,211.14228686496148,-0.3351209343529149,210.5836631107866,8.728920538181041e-15,6.5853504767743394e-15,0.06512308630997149,40.0,12
Naive respondents,196.42496337931752,-11.55158480001046,485.0000000000001,0.4239820022997243,0.20452348711416832,0.4780762167579042,0.0,13
OLS prediction,208.3876585215838,0.41111034225582443,,,,,,13
EB main,206.1909183802973,-1.785629799030687,326.3782446868456,8.044579344871822e-11,0.24484517235871722,0.12367092089317826,0.0,13
EB pairwise,208.401774978394,0.42522679906602434,321.78049021957474,7.660217354461874e-16,1.1428918581693899e-15,0.026727794630542243,0.0,13
EB-offset hybrid: main,206.53241236221325,-1.4441358171147272,330.7266672854489,4.091462718173005e-09,0.20535377995215878,0.11607768045951287,4.0,13
EB-offset hybrid: pairwise,208.46143128871108,0.4848831093831052,315.12747875058034,9.248135191553633e-10,2.054443047743168e-09,0.03465639638360175,10.0,13
Naive respondents,200.53462120257748,-10.857725712454709,500.0000000000005,0.4426962509554857,0.16368326961189317,0.4697926304654683,0.0,14
OLS prediction,211.67551641732734,0.28316950229515214,,,,,,14
EB main,210.04165094340067,-1.3506959716315237,346.2475998701908,2.629900100227233e-13,0.2109257120557256,0.15783566825580336,0.0,14
EB pairwise,210.2379872285627,-1.1543596864694905,307.2267824945354,3.4661558627901276e-14,3.8301208433452974e-14,0.07100701206682423,0.0,14
EB-offset hybrid: main,210.17231636340608,-1.2200305516261096,342.6560674303894,2.0943800923256985e-10,0.18518802788753572,0.15884646382968998,9.0,14
EB-offset hybrid: pairwise,210.60771339213431,-0.7846335228978774,308.0229755772605,1.3960827584082973e-15,1.5650835366219469e-15,0.08045892889838915,12.0,14
Naive respondents,201.0218649156287,-9.767802431803887,487.99999999999955,0.4487035227933878,0.19398280437895957,0.4730954606439545,0.0,15
OLS prediction,212.92118322789852,2.1315158804659404,,,,,,15
EB main,211.0832986083902,0.2936312609576248,328.2846549751991,4.364388849089711e-12,0.17607388771647586,0.10324888855143009,0.0,15
EB pairwise,210.5156352144059,-0.2740321330266795,278.89358871069896,3.3779458191347714e-12,4.085496639681533e-12,0.0350229488707638,0.0,15
EB-offset hybrid: main,211.1641189472608,0.3744515998282054,326.9175514980184,2.802170133600505e-09,0.16887217107154004,0.10172056266353328,4.0,15
EB-offset hybrid: pairwise,210.72970063988456,-0.05996670754802835,284.8643306408008,7.935681283705764e-15,1.0240254289668829e-14,0.042826185837691995,4.0,15
